Datetime,Close,MACD_Crossover,YBR_Crossover,adx,macd,candle,Signal,Return
2023-02-27 12:00:00-05:00,3998.25,0,2,22.203858,3.595214,NO_PATTERN,0,
2023-02-27 13:00:00-05:00,4001.25,0,0,22.838657,3.758962,NO_PATTERN,0,
2023-02-27 14:00:00-05:00,3990.25,0,0,22.892065,2.966923,NO_PATTERN,0,
2023-02-27 15:00:00-05:00,3988.0,0,0,21.695275,2.133082,CDLSPINNINGTOP_Bear,0,
2023-02-27 16:00:00-05:00,3991.5,2,0,20.58397,1.734682,NO_PATTERN,0,
2023-02-27 18:00:00-05:00,3991.75,2,0,19.840945,1.422719,CDLDOJI_Bull,0,
2023-02-27 19:00:00-05:00,3993.5,2,0,19.283523,1.301692,NO_PATTERN,0,
2023-02-27 20:00:00-05:00,3995.75,0,0,18.981873,1.371523,NO_PATTERN,0,
2023-02-27 21:00:00-05:00,3995.25,0,0,18.70177,1.370718,CDLDOJI_Bull,0,
2023-02-27 22:00:00-05:00,3993.75,0,0,18.441674,1.234808,NO_PATTERN,0,
2023-02-27 23:00:00-05:00,3991.5,0,0,17.702952,0.934767,CDLHIKKAKE_Bull,0,
2023-02-28 00:00:00-05:00,3987.5,0,0,16.471555,0.369952,CDLBELTHOLD_Bear,0,
2023-02-28 01:00:00-05:00,3990.75,0,0,15.328115,0.182476,CDLBELTHOLD_Bull,0,
2023-02-28 02:00:00-05:00,3977.0,0,0,15.588699,-1.063353,CDLBELTHOLD_Bear,0,
2023-02-28 03:00:00-05:00,3980.25,0,0,16.340334,-1.768052,CDLHARAMI_Bull,0,
2023-02-28 04:00:00-05:00,3982.5,0,0,16.651009,-2.120531,CDLSPINNINGTOP_Bull,0,
2023-02-28 05:00:00-05:00,3992.25,0,0,15.753795,-1.594747,CDLBELTHOLD_Bull,0,
2023-02-28 06:00:00-05:00,3997.5,0,1,15.241229,-0.74583,NO_PATTERN,0,-0.06
2023-02-28 07:00:00-05:00,4001.5,1,1,15.179856,0.246864,CDLADVANCEBLOCK_Bear,0,-0.1
2023-02-28 08:00:00-05:00,3995.25,1,0,14.168993,0.523226,NO_PATTERN,0,
2023-02-28 09:00:00-05:00,3984.0,1,2,14.493284,-0.163649,CDLBELTHOLD_Bear,0,
2023-02-28 10:00:00-05:00,3983.75,2,2,14.794412,-0.719877,CDLDOJI_Bull,0,
2023-02-28 11:00:00-05:00,3984.5,2,0,14.9059,-1.087636,CDLDOJI_Bull,0,
2023-02-28 12:00:00-05:00,3999.0,0,1,14.207661,-0.206676,CDLBELTHOLD_Bull,0,-0.1
2023-02-28 13:00:00-05:00,4000.0,1,1,13.25969,0.565662,CDLDOJI_Bull,0,-0.1
2023-02-28 14:00:00-05:00,3988.75,1,0,13.372602,0.266889,CDLENGULFING_Bear,0,
2023-02-28 15:00:00-05:00,3972.0,2,2,14.696341,-1.306417,CDL3OUTSIDE_Bear,0,
2023-02-28 16:00:00-05:00,3969.5,2,2,16.337284,-2.723607,NO_PATTERN,0,
2023-02-28 18:00:00-05:00,3963.5,2,0,18.048228,-4.281535,NO_PATTERN,0,
2023-02-28 19:00:00-05:00,3958.5,0,0,19.862117,-5.852201,NO_PATTERN,0,
2023-02-28 20:00:00-05:00,3969.75,0,0,20.71053,-6.118653,CDLCLOSINGMARUBOZU_Bull,0,
2023-02-28 21:00:00-05:00,3972.75,0,0,21.117552,-6.018367,CDL3OUTSIDE_Bull,0,
2023-02-28 22:00:00-05:00,3975.0,0,0,21.029051,-5.691723,CDLADVANCEBLOCK_Bear,0,
2023-02-28 23:00:00-05:00,3975.75,0,0,20.883822,-5.311113,CDLDOJI_Bull,0,
2023-03-01 00:00:00-05:00,3976.25,0,0,20.649056,-4.912503,CDLDOJI_Bull,0,
2023-03-01 01:00:00-05:00,3979.75,1,0,19.777348,-4.265016,NO_PATTERN,0,
2023-03-01 02:00:00-05:00,3983.0,1,0,18.77792,-3.449862,NO_PATTERN,0,
2023-03-01 03:00:00-05:00,3984.75,1,0,17.531269,-2.632294,CDLSPINNINGTOP_Bull,0,
2023-03-01 04:00:00-05:00,3985.0,0,0,16.498781,-1.941807,CDLDOJI_Bull,0,
2023-03-01 05:00:00-05:00,3988.75,0,0,15.540042,-1.079554,CDLCLOSINGMARUBOZU_Bull,0,
